字符总数15687

字符	Unicode	次数	频度
--------------------------------------------
'空格符'	U+0020	1411	0.089947
e     	U+0065	728	0.046408
a     	U+0061	698	0.044495
t     	U+0074	510	0.032511
n     	U+006E	507	0.032320
i     	U+0069	442	0.028176
o     	U+006F	422	0.026901
_     	U+005F	389	0.024798
r     	U+0072	338	0.021547
s     	U+0073	318	0.020272
l     	U+006C	260	0.016574
d     	U+0064	251	0.016001
'换行符'	U+000A	241	0.015363
c     	U+0063	230	0.014662
b     	U+0062	224	0.014279
m     	U+006D	206	0.013132
2     	U+0032	194	0.012367
1     	U+0031	194	0.012367
|     	U+007C	191	0.012176
h     	U+0068	177	0.011283
，   	U+FF0C	173	0.011028
.     	U+002E	164	0.010455
)     	U+0029	158	0.010072
(     	U+0028	157	0.010008
设   	U+8BBE	150	0.009562
S     	U+0053	146	0.009307
”   	U+201D	145	0.009243
“   	U+201C	144	0.009180
u     	U+0075	144	0.009180
3     	U+0033	138	0.008797
p     	U+0070	134	0.008542
A     	U+0041	113	0.007203
D     	U+0044	109	0.006948
f     	U+0066	107	0.006821
y     	U+0079	105	0.006693
I     	U+0049	99	0.006311
P     	U+0050	98	0.006247
C     	U+0043	93	0.005928
。   	U+3002	93	0.005928
k     	U+006B	90	0.005737
w     	U+0077	88	0.005610
的   	U+7684	87	0.005546
,     	U+002C	83	0.005291
M     	U+004D	81	0.005164
为   	U+4E3A	80	0.005100
B     	U+0042	80	0.005100
E     	U+0045	74	0.004717
/     	U+002F	73	0.004654
'制表符'	U+0009	73	0.004654
;     	U+003B	72	0.004590
时   	U+65F6	67	0.004271
O     	U+004F	66	0.004207
-     	U+002D	65	0.004144
g     	U+0067	61	0.003889
置   	U+7F6E	58	0.003697
T     	U+0054	57	0.003634
用   	U+7528	56	0.003570
0     	U+0030	54	0.003442
v     	U+0076	52	0.003315
=     	U+003D	51	0.003251
（   	U+FF08	50	0.003187
）   	U+FF09	49	0.003124
x     	U+0078	49	0.003124
是   	U+662F	48	0.003060
项   	U+9879	47	0.002996
可   	U+53EF	46	0.002932
统   	U+7EDF	44	0.002805
U     	U+0055	44	0.002805
系   	U+7CFB	44	0.002805
能   	U+80FD	43	0.002741
+     	U+002B	41	0.002614
动   	U+52A8	41	0.002614
电   	U+7535	41	0.002614
R     	U+0052	40	0.002550
盘   	U+76D8	38	0.002422
启   	U+542F	38	0.002422
、   	U+3001	35	0.002231
在   	U+5728	33	0.002104
开   	U+5F00	32	0.002040
存   	U+5B58	30	0.001912
:     	U+003A	30	0.001912
N     	U+004E	30	0.001912
中   	U+4E2D	30	0.001912
于   	U+4E8E	29	0.001849
功   	U+529F	29	0.001849
6     	U+0036	28	0.001785
和   	U+548C	28	0.001785
使   	U+4F7F	28	0.001785
将   	U+5C06	28	0.001785
硬   	U+786C	27	0.001721
4     	U+0034	27	0.001721
内   	U+5185	27	0.001721
9     	U+0039	27	0.001721
定   	U+5B9A	27	0.001721
F     	U+0046	26	0.001657
不   	U+4E0D	25	0.001594
速   	U+901F	25	0.001594
以   	U+4EE5	25	0.001594
5     	U+0035	24	0.001530
^     	U+005E	23	0.001466
显   	U+663E	23	0.001466
度   	U+5EA6	23	0.001466
有   	U+6709	23	0.001466
式   	U+5F0F	23	0.001466
模   	U+6A21	22	0.001402
选   	U+9009	22	0.001402
L     	U+004C	22	0.001402
此   	U+6B64	21	0.001339
进   	U+8FDB	21	0.001339
